Compactness,' Circularity',' Distance_circularity',' Radius_ratio',' Praxis_aspect_ratio',' Max_length_aspect_ratio',' Scatter_ratio',' Elongatedness',' Praxis_rectangular',' Length_rectangular',' Major_variance',' Minor_variance',' Gyration_radius',' Major_skewness',' Minor_skewness',' Minor_kurtosis',' Major_kurtosis',' Hollows_ratio',' Type_vehicle'
0.369565,0.576923,0.527778,0.170306,0.142857,0.169811,0.320261,0.485714,0.25,0.585714,0.221053,0.227818,0.484277,0.210526,0.090909,0.04878,0.266667,0.4,' van '
0.478261,0.346154,0.777778,0.406114,0.197802,0.132075,0.431373,0.314286,0.333333,0.328571,0.363158,0.347722,0.251572,0.105263,0.045455,0.707317,0.566667,0.633333,' opel'
0.543478,0.846154,0.847222,0.541485,0.252747,0.132075,0.640523,0.142857,0.583333,0.714286,0.557895,0.571942,0.855346,0.171053,0.045455,0.146341,0.4,0.533333,' opel'
0.434783,0.307692,0.583333,0.240175,0.175824,0.132075,0.20915,0.571429,0.166667,0.357143,0.157895,0.14988,0.113208,0.052632,0.272727,0.243902,0.766667,0.866667,' van '
0.369565,0.192308,0.486111,0.262009,0.186813,0.09434,0.254902,0.485714,0.166667,0.185714,0.2,0.193046,0.188679,0.092105,0,0,0.633333,0.766667,' bus '
0.195652,0.423077,0.444444,0.061135,0.054945,0.09434,0.261438,0.514286,0.166667,0.414286,0.231579,0.18705,0.427673,0.302632,0.090909,0.04878,0.133333,0.133333,' bus '
0.673913,0.653846,0.777778,0.467249,0.197802,0.150943,0.490196,0.257143,0.416667,0.542857,0.405263,0.411271,0.540881,0.078947,0.136364,0.170732,0.633333,0.833333,' saab'
0.391304,0.615385,0.638889,0.39738,0.175824,0.113208,0.424837,0.314286,0.333333,0.542857,0.384211,0.346523,0.578616,0.105263,0.318182,0.121951,0.533333,0.566667,' opel'
0.326087,0.192308,0.513889,0.227074,0.098901,0.09434,0.333333,0.428571,0.25,0.157143,0.284211,0.252998,0.194969,0.105263,0.045455,0.219512,0.533333,0.566667,' opel'
0.586957,0.538462,0.666667,0.375546,0.142857,0.150943,0.385621,0.342857,0.333333,0.528571,0.294737,0.306954,0.377358,0,0.681818,0.439024,0.833333,0.966667,' saab'
0.543478,0.192308,0.361111,0.113537,0.087912,0.09434,0.117647,0.714286,0.083333,0.285714,0.157895,0.080336,0.08805,0.131579,0.136364,0.292683,0.5,0.433333,' van '
0.456522,0.615385,0.541667,0.432314,0.263736,0.056604,0.405229,0.314286,0.333333,0.514286,0.347368,0.33693,0.610063,0.157895,0.272727,0.04878,0.7,0.6,' bus '
0.391304,0.230769,0.666667,0.371179,0.175824,0.132075,0.411765,0.342857,0.333333,0.2,0.352632,0.327338,0.295597,0.131579,0,0.560976,0.5,0.566667,' saab'
0.826087,0.961538,0.902778,0.344978,0.043956,0.075472,1,0,1,0.8,0.815789,1,0.918239,0.342105,0.181818,0.195122,0.166667,0.066667,' bus '
0.413043,0.076923,0.25,0.139738,0.120879,0.075472,0.065359,0.828571,0,0.2,0.063158,0.045564,0.044025,0.065789,0.272727,0.414634,0.7,0.733333,' van '
0.456522,0.461538,0.625,0.257642,0.230769,0.150943,0.294118,0.514286,0.25,0.542857,0.210526,0.207434,0.421384,0.184211,0.772727,0.268293,0.366667,0.466667,' van '
0.304348,0.153846,0.166667,0.052402,0.076923,0.075472,0.019608,0.914286,0,0.114286,0.026316,0.014388,0.220126,0.197368,0.5,0.536585,0.333333,0.3,' van '
0.282609,0.5,0.416667,0.196507,0.197802,0.113208,0.24183,0.542857,0.166667,0.4,0.210526,0.176259,0.477987,0.236842,0.272727,0.146341,0.233333,0.233333,' bus '
0.543478,0.076923,0.416667,0.340611,0.230769,0.056604,0.281046,0.428571,0.166667,0.085714,0.284211,0.224221,0.050314,0.157895,0.136364,0.536585,0.866667,0.8,' bus '
0.695652,0.846154,0.777778,0.336245,0.098901,0.132075,0.699346,0.114286,0.666667,0.814286,0.531579,0.634293,0.672956,0.197368,0.181818,0.121951,0.366667,0.433333,' opel'
0.5,0.423077,0.625,0.270742,0.208791,0.150943,0.281046,0.485714,0.166667,0.457143,0.194737,0.205036,0.314465,0.105263,0.136364,0.243902,0.533333,0.7,' van '
0.717391,0.769231,0.805556,0.388646,0.142857,0.150943,0.673203,0.142857,0.583333,0.728571,0.494737,0.595923,0.685535,0.184211,0.363636,0.512195,0.4,0.533333,' saab'
0.456522,0.653846,0.611111,0.148472,0.10989,0.150943,0.287582,0.514286,0.25,0.742857,0.215789,0.20024,0.490566,0.236842,0.227273,0.146341,0.2,0.333333,' van '
0.478261,0.923077,0.888889,0.541485,0.296703,0.150943,0.653595,0.142857,0.583333,0.814286,0.494737,0.582734,0.716981,0.197368,0,0.097561,0.333333,0.4,' opel'
0.891304,0.923077,0.861111,0.336245,0.054945,0.075472,0.947712,0,0.916667,0.728571,0.826316,0.940048,0.955975,0.342105,0.090909,0.512195,0.2,0.1,' bus '
0.347826,0.192308,0.555556,0.283843,0.131868,0.09434,0.320261,0.428571,0.25,0.185714,0.294737,0.245803,0.176101,0.118421,0.227273,0.365854,0.533333,0.533333,' saab'
0.26087,0.115385,0.527778,0.196507,0.087912,0.09434,0.228758,0.542857,0.166667,0.142857,0.2,0.164269,0.157233,0.065789,0.454545,0.585366,0.7,0.733333,' opel'
0.434783,0.230769,0.319444,0.183406,0.120879,0.09434,0.104575,0.742857,0.083333,0.228571,0.1,0.074341,0.308176,0.052632,0.409091,0.170732,0.733333,0.766667,' saab'
0.630435,0.692308,0.944444,0.388646,0.10989,0.150943,0.653595,0.142857,0.583333,0.628571,0.468421,0.574341,0.471698,0.092105,0.318182,0.512195,0.5,0.666667,' opel'
0.304348,0.346154,0.333333,0.200873,0.186813,0.150943,0.137255,0.685714,0.083333,0.342857,0.142105,0.095923,0.314465,0.105263,0.318182,0.02439,0.566667,0.666667,' van '
0.217391,0.5,0.388889,0.152838,0.131868,0.075472,0.248366,0.514286,0.166667,0.4,0.221053,0.182254,0.465409,0.197368,0.227273,0.073171,0.3,0.333333,' bus '
0.5,0.269231,0.527778,0.28821,0.120879,0.09434,0.405229,0.342857,0.333333,0.3,0.352632,0.32494,0.320755,0.118421,0.136364,0.707317,0.5,0.633333,' saab'
0.304348,0.538462,0.569444,0.196507,0.164835,0.132075,0.228758,0.542857,0.166667,0.485714,0.215789,0.169065,0.45283,0.171053,0,0.146341,0.4,0.566667,' van '
0.586957,0.5,0.888889,0.349345,0.142857,0.132075,0.555556,0.228571,0.5,0.414286,0.484211,0.472422,0.559748,0.184211,0.590909,0.317073,0.433333,0.533333,' saab'
0.369565,0.538462,0.625,0.196507,0.142857,0.150943,0.281046,0.485714,0.166667,0.528571,0.257895,0.205036,0.484277,0.210526,0.045455,0.121951,0.3,0.5,' van '
0.326087,0.038462,0.25,0.157205,0.131868,0.075472,0.098039,0.742857,0.083333,0.171429,0.094737,0.070743,0.025157,0.052632,0.181818,0.243902,0.766667,0.833333,' van '
0.326087,0.269231,0.208333,0.043668,0.065934,0.09434,0.130719,0.771429,0.083333,0.3,0.063158,0.077938,0.308176,0.368421,0,0.170732,0,0.066667,' van '
0.326087,0.346154,0.333333,0.20524,0.164835,0.113208,0.117647,0.714286,0.083333,0.342857,0.105263,0.082734,0.327044,0.052632,0.136364,0.04878,0.9,0.966667,' van '
0.717391,0.846154,0.805556,0.524017,0.230769,0.169811,0.673203,0.142857,0.583333,0.742857,0.484211,0.593525,0.660377,0.118421,0.090909,0.707317,0.433333,0.666667,' opel'
0.804348,0.692308,0.888889,0.379913,0.10989,0.188679,0.660131,0.142857,0.583333,0.628571,0.505263,0.58753,0.509434,0.118421,0.818182,0.04878,0.5,0.6,' saab'
